Contact_Radius_Length,Contact_Radius_Width,Average_Chip_1,Stress_Contact_1,Stress_Contact_2,Stress_Metal_1,Stress_Metal_2,Total_Strain_Contact_1,Total_Strain_Contact_2,Total_Strain_Metal_1,Total_Strain_Metal_2,Total_Displacement_Contact_1,Total_Displacement_Contact_2,Total_Displacement_Metal_1,Total_Displacement_Metal_2
0.2805,0.096215768,149.7044636654973,150.03521148780962,5.29962673140298e-08,165.14028162322631,1.639989413282843e-08,0.0020045280544681264,1.7636469813033595e-12,0.002195506298606274,6.389929739013145e-13,0.0010861787635348197,2.4639912995517682e-14,0.0009604142344951745,3.1460761554607796e-14
0.2775,0.095186722,149.7050277126014,149.87368858277787,5.456433540161336e-08,165.15327491989365,1.6263813346683828e-08,0.0020024727607023756,1.849390163574308e-12,0.0021956261267735253,6.284419338180577e-13,0.0010857905080175418,1.883379731553437e-14,0.0009603643231526302,3.069316259409572e-14
0.2745,0.094157676,149.705665306561,149.81906259993792,5.0447850647116775e-08,165.1663704723437,1.7445057277901415e-08,0.002001242954010553,1.6057428283796752e-12,0.0021957901560128263,7.025603165036757e-13,0.0010854359940915279,2.2254818133113737e-14,0.0009603187880802114,3.323249240981052e-14
0.2715,0.093128631,149.70628102535812,151.11689405312313,5.464991205740121e-08,165.17558816044706,1.9259313814899427e-08,0.0020236430708711495,1.684504254033584e-12,0.002195729416605585,7.846746105409492e-13,0.0010837589705154018,2.5418389818024718e-14,0.0009602837534875845,3.562046182709626e-14
0.2685,0.092099585,149.7068905441614,150.99597227557112,4.432462012847178e-08,165.18843336873618,1.9506512887976105e-08,0.0020230910338962316,1.5664171884920693e-12,0.0021957734367907913,7.521331511060349e-13,0.0010836702420901967,1.98616295598652e-14,0.0009602193220820082,3.334483408944219e-14
0.2655,0.091070539,149.7075665669116,150.91846972009552,5.7010506227286834e-08,165.19945377676768,1.847121225641815e-08,0.002022019456565931,1.929226473388192e-12,0.002195754172401253,7.343644363357477e-13,0.0010833846902772947,2.8646561702215563e-14,0.0009601724032532043,3.232607791352024e-14
0.2595,0.089012448,149.7088643611965,149.1914857214749,5.3330844097686384e-08,165.2230196254191,2.1589958530979223e-08,0.0019918115175393282,1.8050452065080987e-12,0.0021957159788598044,8.870886799949225e-13,0.0010837935494653025,2.5120076810382302e-14,0.0009600847885790467,3.982302879826863e-14
0.2535,0.086954357,149.71022595296088,148.96842110350644,5.9100806372057963e-08,165.24300168440217,1.9326511523778686e-08,0.0019886581252291364,1.82620206133796e-12,0.0021957188067291324,7.969793291300381e-13,0.0010832812692939077,2.4731634720892657e-14,0.0009599972275511964,3.393402637672839e-14
0.2505,0.085925311,149.711082892648,148.91548468764557,5.1483528596703134e-08,165.25257020012754,1.9201962438460666e-08,0.0019872595957448084,1.705662993563936e-12,0.002195696487931328,7.762061492921671e-13,0.0010831118175160367,2.0036289940425645e-14,0.0009599527854742055,3.549211342112526e-14
0.2475,0.084896266,149.71169058344327,148.7707356917979,5.267303662244366e-08,165.2605191290739,1.9242722623306012e-08,0.0019887675195731404,1.7451889223399612e-12,0.0021956736313821453,7.759859732791312e-13,0.001081351413871661,2.0082452372171807e-14,0.0009599090942938349,3.668940735807591e-14
0.2445,0.08386722,149.71238726776173,148.83060175548303,4.870077299782566e-08,165.270146593182,1.741025294436183e-08,0.0019930226374160523,1.7685976682474119e-12,0.0021957484971785266,6.86421840975796e-13,0.0010814814351663067,2.473508368046418e-14,0.0009598683360170889,3.3449286368952234e-14
0.2415,0.082838174,149.71318089743818,148.65215272266383,5.113539439688993e-08,165.27974916529408,1.830909846111411e-08,0.0019898458643266086,1.7092339509899222e-12,0.0021958246337239317,7.495184119904827e-13,0.0010811858952979791,2.6996198860840782e-14,0.0009598205143004556,3.494190073879168e-14
0.2355,0.080780083,149.71508776368,148.04970130588262,5.19098565241282e-08,165.2988747241611,2.0054801798661704e-08,0.0019810582107075117,1.6554698724645916e-12,0.002196043058220902,7.889300944470136e-13,0.0010805563621982342,2.6410390603463393e-14,0.0009597355505507023,3.801813776097567e-14
0.2325,0.079751037,149.71619378469154,147.95276437262976,5.355478353064191e-08,165.3081058384967,1.7998691549543973e-08,0.0019788229743211627,1.8252638939984016e-12,0.002196223525503401,7.48530055599161e-13,0.0010808009423183005,3.1399791583013645e-14,0.0009596945206477284,3.4615034455408504e-14
0.2265,0.077692946,149.717677761592,170.62900187312607,4.569919048944572e-08,165.3477483202941,2.0527542351548514e-08,0.0022611358199535253,1.484607179170771e-12,0.002197701105521905,8.234981687709545e-13,0.0010829003147297225,2.664636411864939e-14,0.000959696546632659,3.7493999624560357e-14
0.2235,0.0766639,149.7182910582785,170.80360607083503,4.040026370640071e-08,165.35751215926112,1.8133655947561393e-08,0.0022645993600769847,1.442685532948135e-12,0.002197922337375087,7.193961957141484e-13,0.0010828880327208193,2.3177094277035027e-14,0.0009596546684693268,3.697301217725941e-14
0.2205,0.075634855,149.71897896308073,170.84577188625025,4.026444944319779e-08,165.36630166769618,2.0444825181463405e-08,0.0022651637669550344,1.4286527518041126e-12,0.002198172693540365,7.789089757772138e-13,0.001082625677631087,2.5558050137106412e-14,0.0009596150867519759,3.923756384680831e-14
0.2175,0.074605809,149.71968888522383,169.3793285072008,4.174296340222577e-08,165.37422993044603,1.9306374953433574e-08,0.002245096494021786,1.4740221643954717e-12,0.002198429928319701,7.758151559119115e-13,0.0010813035396089721,2.2748225666881314e-14,0.0009595735378369059,3.390231896152772e-14
